Date,1 Mo,3 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr,SP500,Unemployment
1/2/90,7.79,7.83,7.89,7.81,7.87,7.90,7.87,7.98,7.94,7.97,8.00,359.69,5.4
1/3/90,7.86,7.89,7.94,7.85,7.94,7.96,7.92,8.04,7.99,8.02,8.04,358.76,5.4
1/4/90,7.80,7.84,7.90,7.82,7.92,7.93,7.91,8.02,7.98,8.01,8.04,355.67,5.4
1/5/90,7.75,7.79,7.85,7.79,7.90,7.94,7.92,8.03,7.99,8.03,8.06,352.20,5.4
1/8/90,7.73,7.79,7.88,7.81,7.90,7.95,7.92,8.05,8.02,8.06,8.09,353.79,5.4
1/9/90,7.79,7.80,7.82,7.78,7.91,7.94,7.92,8.05,8.02,8.06,8.10,349.62,5.4
1/10/90,7.73,7.75,7.78,7.77,7.91,7.95,7.92,8.00,8.03,8.07,8.11,347.31,5.4
1/11/90,7.80,7.80,7.80,7.77,7.91,7.95,7.94,8.01,8.04,8.08,8.11,348.53,5.4
1/12/90,7.69,7.74,7.81,7.76,7.93,7.98,7.99,8.07,8.10,8.14,8.17,339.93,5.4
1/16/90,7.82,7.89,7.99,7.92,8.10,8.13,8.11,8.18,8.20,8.23,8.25,340.75,5.4
